Id,ab,cd,ed,gf,Species
1,5.1,3.5,1.4,0.2,x
2,4.9,3,1.4,0.2,x
3,4.7,3.2,1.3,0.2,x
4,4.6,3.1,1.5,0.2,x
5,5,3.6,1.4,0.2,x
6,5.4,3.9,1.7,0.4,x
7,4.6,3.4,1.4,0.3,x
8,5,3.4,1.5,0.2,x
9,4.4,2.9,1.4,0.2,x
10,4.9,3.1,1.5,0.1,x
11,5.4,3.7,1.5,0.2,x
12,4.8,3.4,1.6,0.2,x
13,4.8,3,1.4,0.1,x
14,4.3,3,1.1,0.1,x
15,5.8,4,1.2,0.2,x
16,5.7,4.4,1.5,0.4,x
17,5.4,3.9,1.3,0.4,x
18,5.1,3.5,1.4,0.3,x
19,5.7,3.8,1.7,0.3,x
20,5.1,3.8,1.5,0.3,x
21,5.4,3.4,1.7,0.2,x
22,5.1,3.7,1.5,0.4,x
23,4.6,3.6,1,0.2,x
24,5.1,3.3,1.7,0.5,x
25,4.8,3.4,1.9,0.2,x
26,5,3,1.6,0.2,x
27,5,3.4,1.6,0.4,x
28,5.2,3.5,1.5,0.2,x
29,5.2,3.4,1.4,0.2,x
30,4.7,3.2,1.6,0.2,x
31,4.8,3.1,1.6,0.2,x
32,5.4,3.4,1.5,0.4,x
33,5.2,4.1,1.5,0.1,x
34,5.5,4.2,1.4,0.2,x
35,4.9,3.1,1.5,0.1,x
36,5,3.2,1.2,0.2,x
37,5.5,3.5,1.3,0.2,x
38,4.9,3.1,1.5,0.1,x
39,4.4,3,1.3,0.2,x
40,5.1,3.4,1.5,0.2,x
41,5,3.5,1.3,0.3,x
42,4.5,2.3,1.3,0.3,x
43,4.4,3.2,1.3,0.2,x
44,5,3.5,1.6,0.6,x
45,5.1,3.8,1.9,0.4,x
46,4.8,3,1.4,0.3,x
47,5.1,3.8,1.6,0.2,x
48,4.6,3.2,1.4,0.2,x
49,5.3,3.7,1.5,0.2,x
50,5,3.3,1.4,0.2,x
51,7,3.2,4.7,1.4,x
52,6.4,3.2,4.5,1.5,x
53,6.9,3.1,4.9,1.5,x
54,5.5,2.3,4,1.3,x
55,6.5,2.8,4.6,1.5,x
56,5.7,2.8,4.5,1.3,x
57,6.3,3.3,4.7,1.6,x
58,4.9,2.4,3.3,1,x
59,6.6,2.9,4.6,1.3,x
60,5.2,2.7,3.9,1.4,x
61,5,2,3.5,1,x
62,5.9,3,4.2,1.5,x
63,6,2.2,4,1,x
64,6.1,2.9,4.7,1.4,x
65,5.6,2.9,3.6,1.3,x
66,6.7,3.1,4.4,1.4,x
67,5.6,3,4.5,1.5,x
68,5.8,2.7,4.1,1,y
69,6.2,2.2,4.5,1.5,y
70,5.6,2.5,3.9,1.1,y
71,5.9,3.2,4.8,1.8,y
72,6.1,2.8,4,1.3,y
73,6.3,2.5,4.9,1.5,y
74,6.1,2.8,4.7,1.2,y
75,6.4,2.9,4.3,1.3,y
76,6.6,3,4.4,1.4,y
77,6.8,2.8,4.8,1.4,y
78,6.7,3,5,1.7,y
79,6,2.9,4.5,1.5,y
80,5.7,2.6,3.5,1,y
81,5.5,2.4,3.8,1.1,y
82,5.5,2.4,3.7,1,y
83,5.8,2.7,3.9,1.2,y
84,6,2.7,5.1,1.6,y
85,5.4,3,4.5,1.5,y
86,6,3.4,4.5,1.6,y
87,6.7,3.1,4.7,1.5,y
88,6.3,2.3,4.4,1.3,y
89,5.6,3,4.1,1.3,y
90,5.5,2.5,4,1.3,y
91,5.5,2.6,4.4,1.2,y
92,6.1,3,4.6,1.4,y
93,5.8,2.6,4,1.2,y
94,5,2.3,3.3,1,x
95,5.6,2.7,4.2,1.3,x
96,5.7,3,4.2,1.2,y
97,5.7,2.9,4.2,1.3,y
98,6.2,2.9,4.3,1.3,y
99,5.1,2.5,3,1.1,x
100,5.7,2.8,4.1,1.3,x
101,6.3,3.3,6,2.5,y
102,5.8,2.7,5.1,1.9,y
103,7.1,3,5.9,2.1,y
104,6.3,2.9,5.6,1.8,y
105,6.5,3,5.8,2.2,y
106,7.6,3,6.6,2.1,y
107,4.9,2.5,4.5,1.7,y
108,7.3,2.9,6.3,1.8,y
109,6.7,2.5,5.8,1.8,y
110,7.2,3.6,6.1,2.5,y
111,6.5,3.2,5.1,2,y
112,6.4,2.7,5.3,1.9,y
113,6.8,3,5.5,2.1,y
114,5.7,2.5,5,2,y
115,5.8,2.8,5.1,2.4,y
116,6.4,3.2,5.3,2.3,y
117,6.5,3,5.5,1.8,y
118,7.7,3.8,6.7,2.2,y
119,7.7,2.6,6.9,2.3,y
120,6,2.2,5,1.5,y
121,6.9,3.2,5.7,2.3,y
122,5.6,2.8,4.9,2,y
123,7.7,2.8,6.7,2,y
124,6.3,2.7,4.9,1.8,y
125,6.7,3.3,5.7,2.1,y
126,7.2,3.2,6,1.8,y
127,6.2,2.8,4.8,1.8,y
128,6.1,3,4.9,1.8,y
129,6.4,2.8,5.6,2.1,y
130,7.2,3,5.8,1.6,y
131,7.4,2.8,6.1,1.9,y
132,7.9,3.8,6.4,2,y
133,6.4,2.8,5.6,2.2,y
134,6.3,2.8,5.1,1.5,y
135,6.1,2.6,5.6,1.4,y
136,7.7,3,6.1,2.3,y
137,6.3,3.4,5.6,2.4,y
138,6.4,3.1,5.5,1.8,y
139,6,3,4.8,1.8,y
140,6.9,3.1,5.4,2.1,y
141,6.7,3.1,5.6,2.4,y
142,6.9,3.1,5.1,2.3,y
143,5.8,2.7,5.1,1.9,y
144,6.8,3.2,5.9,2.3,y
145,6.7,3.3,5.7,2.5,y
146,6.7,3,5.2,2.3,y
147,6.3,2.5,5,1.9,y
148,6.5,3,5.2,2,y
149,6.2,3.4,5.4,2.3,y
150,5.9,3,5.1,1.8,y